,strain
1103,Hawaiian Duckfoot
1104,Chocolate Mint OG
1105,Duct Tape
1106,Face on Fire
1107,Giesel
1108,Gruntz
1109,LA Cheese
1110,Lemon
1111,Lemon Cheesecake
1112,Lemon Tangie
1113,Miss USA
1114,Member Berry
1115,Lambs in Space
1116,Dank Commander
1117,Carmalicious
1118,Rainmaker
1119,Rollex OG Kush
1120,Sour Blueberry
1121,Sour Space Candy
1122,Chocolate Chunk
1123,Sweet Cheese
1124,Blue OG
1125,Cracker Jack
1126,Damn Sour
1127,Mother’s Milk
1128,Dolato
1129,Swamp Thing
1130,Tangerine Haze
1131,Mace Windu
1132,Mercury OG
1133,Montana Silvertip
1134,Lemon Marmalade
1135,Fire Alien Strawberry
1136,Dutch Kush
1137,Pineapple Trainwreck
1138,Zelly's Gift
1139,Fifth Element
1140,Strawberry Glue
1141,Cosmic Glue
1142,Heatwave
1143,Magnum
1144,Rogue Thunder
1145,Hitman OG
1146,Lemon Kush Headband
1147,Blueberry Gushers
1148,Safety Meeting
1149,Pineapple OG
1150,Rise 'n' Shine
1151,Dirty Taxi
1152,Golden Strawberry
1153,J1
1154,Sour Alien
1155,Strawberry Bliss
1156,Pakistani Chitral Kush (PCK)
1157,Tangie Cookies
1158,Space Cake
1159,Marathon OG
1160,Royal Cheese
1161,Dread Bread
1162,Mango Sapphire
1163,Watermelon Zkittlez
1164,Willie Nelson
1165,White Cherry Gelato
1166,Pura Vida
1167,Strawberry Shortcake
1168,The Bling
1169,Tropicana Cookies
1170,Sour Headband
1171,Green Cheese
1172,Gorilla Grips
1173,Green Mango
1174,Hades OG
1175,Harley Twin
1176,Viper
1177,Government Mule
1178,Honey Lemon Cheese
1179,OGiesel
1180,Clockwork Orange
1181,Sour Bubble
1182,Purple Nepal
1183,Blizzard Bush
1184,Anunnaki
1185,Carmel Cough
1186,Humboldt Sour Diesel
1187,Harmonia
1188,Jack Burton
1189,Jack's Dragon Girl #7
1190,Kushadelic
1191,Chocolate Meringue
1192,Chemmy Jones
1193,Boss OG
1194,Cannadential
1195,Caramel Candy Kush
1196,CBD Critical Cure
1197,Cheeseburger
1198,Chem Scout
1199,Rocky Dennis
1200,Banana Bread
1201,Early Skunk
1202,Rose Bud
1203,WSU
1204,Chemwreck
1205,Chupacabra
1206,Russian Doll
1207,Jungle Cake
1208,Cheetah Piss
1209,A-Train
1210,Santa Sativa
1211,Cuvee
1212,Dank Schrader
1213,Dawg's Waltz
1214,Flaming Cookies
1215,Frosted Freak
1216,Funfetti
1217,Funky Monkey
1218,Goldberry
1219,Grape OX
1220,Hawaiian Fire
1221,Hawaiian Purple Kush
1222,Haze Wreck
1223,Zerbert
1224,Heisenberg Kush
1225,Purple Raine
1226,Hell Raiser OG
1227,Divorce Cake
1228,Martian Mean Green
1229,Highwayman
1230,Hurkle
1231,Biohazard
1232,East Coast Alien
1233,Madness
1234,Zeitgeist
1235,Mojito
1236,Satsuma
1237,Deep Purple
1238,North Indian
1239,Ken's Kush
1240,Kerala Krush
1241,Karma Bitch
1242,Katsu Kush
1243,X Files
1244,Killer Grape
1245,Kobain Kush
1246,Kraken
1247,Stardawg Guava
1248,Blue Puff
1249,Bubble Bomb
1250,Serious Happiness
1251,Shining Silver Haze
1252,The Wife
1253,Strawberry Satori
1254,Tahoe Hydro OG
1255,The Grunk
1256,El Perro
1257,Thelonious Skunk
1258,Keystone Kush
1259,Grapefruit Haze
1260,TJ's CBD
1261,ICED Grapefruit
1262,Purple Animal Cookies
1263,Black Raspberry
1264,Blue Fire
1265,Fruity Widow
