,strain,about
333,Sour Apple,https://www.wikileaf.com/strain/sour-apple/
334,The White Angel,https://www.wikileaf.com/strain/the-white-angel/
335,Juicy Fruit,https://www.wikileaf.com/strain/juicy-fruit/
336,Black Tuna,https://www.wikileaf.com/strain/black-tuna/
337,Lucky Charms,https://www.wikileaf.com/strain/lucky-charms/
338,Cookie Breath,https://www.wikileaf.com/strain/cookie-breath/
339,Bonkers,https://www.wikileaf.com/strain/bonkers/
340,Pink Lemonade,https://www.wikileaf.com/strain/pink-lemonade/
341,ZaZa,https://www.wikileaf.com/strain/zaza/
342,Mandarin Cookies,https://www.wikileaf.com/strain/mandarin-cookies/
343,Motorbreath,https://www.wikileaf.com/strain/motorbreath/
344,Haze,https://www.wikileaf.com/strain/haze/
345,Super Critical,https://www.wikileaf.com/strain/super-critical/
346,Biscotti,https://www.wikileaf.com/strain/biscotti/
347,Sage N Sour,https://www.wikileaf.com/strain/sage-n-sour/
348,The Black,https://www.wikileaf.com/strain/the-black/
349,Sour Grape,https://www.wikileaf.com/strain/sour-grape/
350,Ecto Cooler,https://www.wikileaf.com/strain/ecto-cooler/
351,Charlotte's Web,https://www.wikileaf.com/strain/charlottes-web/
352,Red Poison,https://www.wikileaf.com/strain/red-poison/
353,Balmoral,https://www.wikileaf.com/strain/balmoral/
354,Animal Mint,https://www.wikileaf.com/strain/animal-mint/
355,Golden Pineapple,https://www.wikileaf.com/strain/golden-pineapple/
356,Strawberry Cheesecake,https://www.wikileaf.com/strain/strawberry-cheesecake/
357,Alien Rift,https://www.wikileaf.com/strain/alien-rift/
358,Ringo's Gift,https://www.wikileaf.com/strain/ringos-gift/
359,Melon Gum,https://www.wikileaf.com/strain/melon-gum/
360,Mob Boss,https://www.wikileaf.com/strain/mob-boss/
361,Darth Vader OG,https://www.wikileaf.com/strain/darth-vader-og/
362,Cream caramel,https://www.wikileaf.com/strain/cream-caramel/
363,Grape Inferno,https://www.wikileaf.com/strain/grape-inferno/
364,Purple Dream,https://www.wikileaf.com/strain/purple-dream/
365,Remedy,https://www.wikileaf.com/strain/remedy/
366,Legend OG,https://www.wikileaf.com/strain/legend-og/
367,Billy Kimber OG,https://www.wikileaf.com/strain/billy-kimber-og/
368,Zookies,https://www.wikileaf.com/strain/zookies/
369,Gorilla Glue #12,https://www.wikileaf.com/strain/gorilla-glue-12/
370,Purple Bud,https://www.wikileaf.com/strain/purple-bud/
371,Molokai Frost,https://www.wikileaf.com/strain/molokai-frost/
372,Nepalese Jam,https://www.wikileaf.com/strain/nepalese-jam/
373,Bear Dance,https://www.wikileaf.com/strain/bear-dance/
374,Lemon Pie,https://www.wikileaf.com/strain/lemon-pie/
375,Blueberry Muffins,https://www.wikileaf.com/strain/blueberry-muffins/
376,Gooberry,https://www.wikileaf.com/strain/gooberry/
377,Honey Bananas,https://www.wikileaf.com/strain/honey-bananas/
378,SAGE,https://www.wikileaf.com/strain/sage/
379,Kimbo Kush,https://www.wikileaf.com/strain/kimbo-kush/
380,Wappa,https://www.wikileaf.com/strain/wappa/
381,Mango,https://www.wikileaf.com/strain/mango/
382,Original Glue,https://www.wikileaf.com/strain/original-glue/
383,Snowland,https://www.wikileaf.com/strain/snowland/
384,OGKB,https://www.wikileaf.com/strain/ogkb/
385,Nirvana Special,https://www.wikileaf.com/strain/nirvana-special/
386,Apple Jack,https://www.wikileaf.com/strain/apple-jack/
387,Dominator,https://www.wikileaf.com/strain/dominator/
388,Cookies Gary Payton,https://www.wikileaf.com/strain/cookies-gary-payton/
389,Vader OG,https://www.wikileaf.com/strain/vader-og/
390,White Tahoe Cookies,https://www.wikileaf.com/strain/white-tahoe-cookies/
391,Lilac Diesel,https://www.wikileaf.com/strain/lilac-diesel/
392,Triple Cheese,https://www.wikileaf.com/strain/triple-cheese/
393,White 99,https://www.wikileaf.com/strain/white-99/
394,Carl Sagan,https://www.wikileaf.com/strain/carl-sagan/
395,Old Toby,https://www.wikileaf.com/strain/old-toby/
396,Love Potion #9,https://www.wikileaf.com/strain/love-potion-9/
397,Bubba Fett,https://www.wikileaf.com/strain/bubba-fett/
398,Wedding Crasher,https://www.wikileaf.com/strain/wedding-crasher/
399,Mars OG,https://www.wikileaf.com/strain/mars-og/
400,Nuken,https://www.wikileaf.com/strain/nuken/
401,Pineapple Upside Down Cake,https://www.wikileaf.com/strain/pineapple-upside-down-cake/
402,Big Buddha Cheese,https://www.wikileaf.com/strain/big-buddha-cheese/
403,French Toast,https://www.wikileaf.com/strain/french-toast/
404,Blue God,https://www.wikileaf.com/strain/blue-god/
405,Blue Haze,https://www.wikileaf.com/strain/blue-haze/
406,OG Skunk,https://www.wikileaf.com/strain/og-skunk/
407,Super Jack,https://www.wikileaf.com/strain/super-jack/
408,White Castle,https://www.wikileaf.com/strain/white-castle/
409,Somango,https://www.wikileaf.com/strain/somango/
410,Apple Kush,https://www.wikileaf.com/strain/apple-kush/
411,C. Banana,https://www.wikileaf.com/strain/chiquita-banana/
412,Cherry Kola,https://www.wikileaf.com/strain/cherry-kola/
413,Pink Cookies,https://www.wikileaf.com/strain/pink-cookies/
414,Hawaiian Punch,https://www.wikileaf.com/strain/hawaiian-punch/
415,Cataract Kush,https://www.wikileaf.com/strain/cataract-kush/
416,Mango Tango,https://www.wikileaf.com/strain/mango-tango/
417,Super Kush,https://www.wikileaf.com/strain/super-kush/
418,CBD Dancehall,https://www.wikileaf.com/strain/cbd-dancehall/
419,Donkey Butter,https://www.wikileaf.com/strain/donkey-butter/
420,Alien Technology,https://www.wikileaf.com/strain/alien-technology/
421,White Walker OG,https://www.wikileaf.com/strain/white-walker-og/
422,Captain America OG,https://www.wikileaf.com/strain/captain-america-og/
423,Snoop Dogg OG,https://www.wikileaf.com/strain/snoop-dogg-og/
424,Hollands Hope,https://www.wikileaf.com/strain/hollands-hope/
425,Walter White,https://www.wikileaf.com/strain/walter-white/
426,Skunkberry,https://www.wikileaf.com/strain/skunkberry/
427,Blue Moon Rocks,https://www.wikileaf.com/strain/blue-moon-rocks/
428,Black Lime Special Reserve,https://www.wikileaf.com/strain/black-lime-special-reserve/
429,Green Dream,https://www.wikileaf.com/strain/green-dream/
430,OG Shark,https://www.wikileaf.com/strain/og-shark/
431,Banana Cream OG,https://www.wikileaf.com/strain/banana-cream-og/
432,Blue Zkittlez,https://www.wikileaf.com/strain/blue-zkittlez/
433,Chocolate Fondue,https://www.wikileaf.com/strain/chocolate-fondue/
434,OG 18,https://www.wikileaf.com/strain/og-18/
